,Municipio,casosm,casosh
0,ARAUCA,78,40
1,CUNDINAMARCA,667,365
2,GUAINÍA,2,1
3,GUAVIARE,9,2
4,HUILA,314,218
5,GUAJIRA,93,48
6,MAGDALENA,296,151
7,META,258,123
8,NARIÑO,216,92
9,NORTE DE SANTANDER,325,194
10,PUTUMAYO,44,17
11,QUINDÍO,129,62
12,RISARALDA,198,96
13,SUCRE,149,87
14,SAN ANDRÉS,33,20
15,ATLÁNTICO,515,274
16,TOLIMA,302,155
17,VALLE,683,381
18,VAUPÉS,0,1
19,SANTAFE DE BOGOTA D.C,2054,1089
20,BOLÍVAR,306,137
21,BOYACÁ,374,199
22,CALDAS,166,62
23,CAQUETÁ,43,14
24,CASANARE,147,92
25,CAUCA,224,108
26,CESAR,197,95
27,CHOCÓ,14,10
28,CÓRDOBA,114,57
29,ANTIOQUIA,1401,758
30,SANTANDER,546,322
